epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,1337.56,1.26762,0.7894,1.11695,0.04472,0.07784,0.02764,0.00995,2.99907,5.00566,1.70811,0.0003961,0.0003961,0.0003961
124,1348.11,1.27924,0.79924,1.10577,0.04192,0.08271,0.02527,0.00915,3.06052,5.14079,1.6983,0.00039115,0.00039115,0.00039115
125,1358.67,1.27265,0.786,1.10261,0.03884,0.07253,0.02313,0.00811,3.11973,5.12224,1.70607,0.0003862,0.0003862,0.0003862
126,1369.33,1.28105,0.78276,1.11514,0.04129,0.06811,0.0246,0.00913,3.09956,5.0242,1.70431,0.00038125,0.00038125,0.00038125
127,1379.93,1.26258,0.77536,1.11766,0.04954,0.05661,0.02953,0.0119,3.08454,5.27043,1.69979,0.0003763,0.0003763,0.0003763
128,1389.73,1.26817,0.76039,1.12326,0.04911,0.0513,0.02923,0.01208,3.085,5.3623,1.70544,0.00037135,0.00037135,0.00037135
129,1400.44,1.26641,0.79047,1.11846,0.04487,0.04954,0.02629,0.01035,3.09065,5.32868,1.70341,0.0003664,0.0003664,0.0003664
130,1411.09,1.21353,0.7565,1.0956,0.04321,0.05617,0.02601,0.01057,3.08942,5.2573,1.68383,0.00036145,0.00036145,0.00036145
131,1422.66,1.22319,0.75097,1.11446,0.0463,0.06059,0.02787,0.01027,3.10308,5.24182,1.69445,0.0003565,0.0003565,0.0003565
132,1435.72,1.17104,0.69466,1.06811,0.04908,0.05573,0.02888,0.01079,3.14094,5.27508,1.73483,0.00035155,0.00035155,0.00035155
133,1445.52,1.19484,0.73885,1.08144,0.0479,0.0544,0.02907,0.01134,3.15478,5.31659,1.73053,0.0003466,0.0003466,0.0003466
134,1455.39,1.24453,0.77633,1.08943,0.04285,0.05661,0.0261,0.00948,3.19657,5.34221,1.73992,0.00034165,0.00034165,0.00034165
135,1466.96,1.19426,0.70502,1.07673,0.03537,0.05927,0.02113,0.00778,3.2188,5.26929,1.71606,0.0003367,0.0003367,0.0003367
136,1478.68,1.2154,0.71715,1.07796,0.03804,0.06413,0.02265,0.00808,3.18544,5.15381,1.69652,0.00033175,0.00033175,0.00033175
137,1489.43,1.21066,0.7541,1.10482,0.04412,0.06457,0.02606,0.00935,3.14107,5.19726,1.66501,0.0003268,0.0003268,0.0003268
138,1499.19,1.21151,0.74108,1.09158,0.0476,0.06457,0.02946,0.01114,3.10074,5.22653,1.65827,0.00032185,0.00032185,0.00032185
139,1509.81,1.243,0.7862,1.08963,0.04964,0.06148,0.03046,0.01196,3.08351,5.16184,1.66279,0.0003169,0.0003169,0.0003169
140,1520.54,1.18818,0.70432,1.06793,0.05008,0.05838,0.0294,0.01105,3.11705,5.12354,1.68783,0.00031195,0.00031195,0.00031195
141,1531.24,1.20805,0.71077,1.05604,0.05018,0.05661,0.02912,0.01114,3.10633,5.14,1.70175,0.000307,0.000307,0.000307
142,1541.93,1.17354,0.70118,1.06339,0.05296,0.05573,0.03003,0.01176,3.08892,5.32553,1.7128,0.00030205,0.00030205,0.00030205
143,1552.54,1.15777,0.70606,1.09013,0.05311,0.05927,0.03037,0.01171,3.10521,5.30733,1.71902,0.0002971,0.0002971,0.0002971
